,Open,High,Low,Close,Date,Fib Level 0,Fib Level 1,Fib Level 2,Fib Level 3,Fib Level 4,Fib Level 5,Fib Level 6,8_upperBand,8_lowerBand,16_upperBand,16_lowerBand,20_upperBand,20_lowerBand,50_upperBand,50_lowerBand,100_upperBand,100_lowerBand,250_upperBand,250_lowerBand,12_26_macd,signal,5_10_macd,8_rolling_mean,8_rolling_median,12_rolling_mean,12_rolling_median,24_rolling_mean,24_rolling_median,240_rolling_mean,240_rolling_median,720_rolling_mean,720_rolling_median,Open_ratio,High_ratio,Low_ratio,Close_ratio,Fib Level 0_ratio,Fib Level 1_ratio,Fib Level 2_ratio,Fib Level 3_ratio,Fib Level 4_ratio,Fib Level 5_ratio,Fib Level 6_ratio,8_upperBand_ratio,8_lowerBand_ratio,16_upperBand_ratio,16_lowerBand_ratio,20_upperBand_ratio,20_lowerBand_ratio,50_upperBand_ratio,50_lowerBand_ratio,100_upperBand_ratio,100_lowerBand_ratio,250_upperBand_ratio,250_lowerBand_ratio,12_26_macd_ratio,signal_ratio,5_10_macd_ratio,8_rolling_mean_ratio,8_rolling_median_ratio,12_rolling_mean_ratio,12_rolling_median_ratio,24_rolling_mean_ratio,24_rolling_median_ratio,240_rolling_mean_ratio,240_rolling_median_ratio,720_rolling_mean_ratio,720_rolling_median_ratio,will_be_increased
746,140.3000030517578,140.39999389648438,140.1999969482422,140.3000030517578,2023-03-10 15:23:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.58570370547426,140.18929782040465,140.54254060022248,140.0699605441867,140.51384251797958,140.06615778719618,140.46233256545793,140.06966694626084,140.46050540278313,139.8754952686036,140.47743413798096,139.64896661885498,0.03372349749164982,0.0195853410194035,-0.004652489602818832,140.38750076293945,140.3499984741211,140.34166844685873,140.3000030517578,140.27499961853027,140.25,140.07458368937174,140.10000610351562,140.970694287618,141.3000030517578,0.0,0.071,0.071,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.203,0.079,0.173,0.164,0.152,0.167,0.116,0.164,0.114,0.303,0.126,0.466,415930.405,716252.107,-3015689.825,0.062,0.036,0.03,0.0,0.018,0.036,0.161,0.143,0.476,0.708,1.0
747,140.3000030517578,140.39999389648438,140.1999969482422,140.39999389648438,2023-03-10 15:24:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.5522771175397,140.1977228824603,140.55220085848092,140.08529990445854,140.52478002323838,140.07521997676164,140.46775324774524,140.06824589776255,140.46682219279168,139.8751782344544,140.48066157317672,139.65053911041704,0.037329749998605166,0.017232829890385958,0.0078227853743158,140.375,140.3499984741211,140.3500010172526,140.3000030517578,140.28333282470703,140.3000030517578,140.07666702270507,140.10000610351562,140.96805538601345,141.3000030517578,0.071,0.0,0.143,0.0,10.988,7.615,5.629,4.077,2.57,0.498,2.024,0.108,0.144,0.108,0.225,0.089,0.232,0.048,0.237,0.048,0.375,0.057,0.537,376007.512,814623.959,1794657.074,0.018,0.036,0.036,0.071,0.083,0.071,0.231,0.214,0.403,0.637,0.0
748,140.3000030517578,140.3000030517578,140.1999969482422,140.3000030517578,2023-03-10 15:25:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.50118098025888,140.19881978268057,140.55009080580206,140.09991072007685,140.52480792830633,140.08519268204523,140.46775324774524,140.06824589776255,140.4688988957276,139.87910159255364,140.48234026350852,139.6528604200852,0.03175327360850133,0.013586912836913951,-0.000996755376974079,140.35000038146973,140.3000030517578,140.3666674296061,140.3000030517578,140.28749974568686,140.3000030517578,140.0787503560384,140.10000610351562,140.96541650560167,141.3000030517578,0.0,0.0,0.071,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.143,0.072,0.178,0.143,0.16,0.153,0.119,0.165,0.12,0.301,0.13,0.463,441744.217,1032511.343,-14075770.55,0.036,0.0,0.047,0.0,0.009,0.0,0.158,0.143,0.472,0.708,0.0
749,140.1999969482422,140.3000030517578,140.10000610351562,140.1999969482422,2023-03-10 15:26:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.4406699074906,140.1843300925094,140.55009080580206,140.09991072007685,140.52480792830633,140.08519268204523,140.46775324774524,140.06824589776255,140.46669432405096,139.88730622526546,140.48332867838553,139.6542720296223,0.019044683864478884,0.006689641373850656,-0.02089944447840253,140.3125,140.3000030517578,140.35833358764648,140.3000030517578,140.28749974568686,140.3000030517578,140.08041699727377,140.10000610351562,140.9626387278239,141.3000030517578,0.0,0.071,0.071,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.171,0.011,0.249,0.071,0.231,0.082,0.191,0.094,0.19,0.224,0.202,0.391,736063.425,2095677.473,-670931.213,0.08,0.071,0.113,0.071,0.062,0.071,0.085,0.071,0.541,0.778,1.0
752,140.39999389648438,140.39999389648438,140.1999969482422,140.3000030517578,2023-03-10 15:29:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.4069040101745,140.19309827864387,140.52216757021256,140.16533433713607,140.52299706890057,140.10700476215413,140.46233256545793,140.06966694626084,140.470295315294,139.90170541712789,140.48632353438154,139.66487727128253,0.013267039992740592,-0.0020617927957175576,-0.008521152873271376,140.30000114440918,140.3000030517578,140.32500076293945,140.3000030517578,140.3000005086263,140.3000030517578,140.08458372751872,140.10000610351562,140.95333319769966,141.3000030517578,0.071,0.071,0.071,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.076,0.076,0.158,0.096,0.159,0.138,0.116,0.164,0.121,0.285,0.133,0.455,1057407.953,-6804857.653,-1646590.858,0.0,0.0,0.018,0.0,0.0,0.0,0.154,0.143,0.464,0.708,0.0
753,140.3000030517578,140.3000030517578,140.1999969482422,140.1999969482422,2023-03-10 15:30:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.41567454065563,140.15932622228382,140.52898466576366,140.14601647864552,140.52299706890057,140.10700476215413,140.45531619580194,140.06868343798712,140.4698115288541,139.90618914253258,140.48672651111534,139.66767424572058,0.003830728907246339,-0.005969809036243981,-0.021601873998349674,140.28750038146973,140.3000030517578,140.3000005086263,140.3000030517578,140.3000005086263,140.3000030517578,140.08625036875407,140.10000610351562,140.94972207811145,141.3000030517578,0.071,0.071,0.0,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.154,0.029,0.234,0.039,0.23,0.066,0.182,0.094,0.192,0.21,0.204,0.381,3659777.802,-2348583.781,-649117.752,0.062,0.071,0.071,0.071,0.071,0.071,0.081,0.071,0.532,0.778,1.0
754,140.1999969482422,140.3000030517578,140.10000610351562,140.3000030517578,2023-03-10 15:31:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.41567454065563,140.15932622228382,140.52898466576366,140.14601647864552,140.52104866811428,140.11895377329196,140.4495212852862,140.07047871471377,140.4711074735387,139.9108932588832,140.48817309665122,139.6702276601847,0.004371647523470301,-0.007230880905489808,-0.012275168382473112,140.28750038146973,140.3000030517578,140.29166793823242,140.3000030517578,140.3000005086263,140.3000030517578,140.0879170735677,140.10000610351562,140.94624985588922,141.3000030517578,0.071,0.0,0.143,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.082,0.1,0.163,0.11,0.157,0.129,0.106,0.164,0.122,0.278,0.134,0.451,3209216.449,-1940389.225,-1143057.87,0.009,0.0,0.006,0.0,0.0,0.0,0.151,0.143,0.459,0.708,0.0
755,140.3000030517578,140.3000030517578,140.1999969482422,140.1999969482422,2023-03-10 15:32:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.36601691457983,140.15898461129908,140.5008669455712,140.13663381736825,140.52299706890057,140.10700476215413,140.44790844625646,140.0680913096029,140.4704406270072,139.91556004437953,140.48851420315646,139.67308650485137,-0.0032320700522348034,-0.01010397767195818,-0.021596364737831664,140.26250076293945,140.3000030517578,140.2833340962728,140.3000030517578,140.3000005086263,140.3000030517578,140.08916708628337,140.10000610351562,140.942638736301,141.3000030517578,0.071,0.071,0.0,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.118,0.029,0.214,0.045,0.23,0.066,0.177,0.094,0.193,0.203,0.205,0.377,-4337877.173,-1387672.316,-649283.317,0.045,0.071,0.059,0.071,0.071,0.071,0.079,0.071,0.527,0.778,1.0
756,140.1999969482422,140.39999389648438,140.10000610351562,140.39999389648438,2023-03-10 15:33:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.41642189979157,140.13357733726897,140.47374364104775,140.15125635895225,140.51467515626015,140.14532545409142,140.45378003739233,140.0662193522561,140.47210701426187,139.92389365712486,140.4913394230353,139.67506121173034,0.006801606579330155,-0.0070970251682223795,0.004930784846720826,140.27499961853027,140.3000030517578,140.29166666666666,140.3000030517578,140.30833371480307,140.3000030517578,140.0916670481364,140.10000610351562,140.939305390252,141.3000030517578,0.143,0.0,0.214,0.0,10.988,7.615,5.629,4.077,2.57,0.498,2.024,0.012,0.19,0.053,0.177,0.082,0.182,0.038,0.238,0.051,0.34,0.065,0.519,2064118.097,-1978393.589,2847316.755,0.089,0.071,0.077,0.071,0.065,0.071,0.22,0.214,0.383,0.637,0.0
757,140.3000030517578,140.39999389648438,140.3000030517578,140.3000030517578,2023-03-10 15:34:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.41567454065566,140.1593262222838,140.4264893672705,140.17351101419922,140.51467515626015,140.14532545409142,140.44790844625646,140.0680913096029,140.47413658772086,139.92586402263072,140.49319126089915,139.67640944710865,0.006608760411268122,-0.0048873849882861975,0.003951175731458534,140.28750038146973,140.3000030517578,140.29166666666666,140.3000030517578,140.31250063578287,140.3000030517578,140.09375038146973,140.10000610351562,140.936249838935,141.3000030517578,0.0,0.071,0.0,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.082,0.1,0.09,0.09,0.153,0.11,0.105,0.166,0.124,0.267,0.138,0.446,2122839.77,-2870755.849,3550741.891,0.009,0.0,0.006,0.0,0.009,0.0,0.147,0.143,0.451,0.708,1.0
759,140.3000030517578,140.39999389648438,140.3000030517578,140.39999389648438,2023-03-10 15:36:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.47939915862887,140.14559702667387,140.44226140703358,140.17023783002696,140.50289822089758,140.15710086357507,140.4594931342111,140.0645058892264,140.4829796284736,139.93102061566705,140.49859483844685,139.68060572307658,0.020267195969353224,0.004816151245852628,0.025058383167959164,140.31249809265137,140.3000030517578,140.29999923706055,140.3000030517578,140.32500012715658,140.3000030517578,140.0983336766561,140.10000610351562,140.93027759128148,141.3000030517578,0.071,0.0,0.071,0.0,10.988,7.615,5.629,4.077,2.57,0.498,2.024,0.057,0.182,0.03,0.164,0.073,0.173,0.042,0.24,0.059,0.335,0.07,0.515,692645.035,2915090.714,560191.512,0.062,0.071,0.071,0.071,0.053,0.071,0.215,0.214,0.376,0.637,0.0
762,140.3000030517578,140.3000030517578,140.1999969482422,140.3000030517578,2023-03-10 15:39:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.46641497137028,140.18358273981136,140.44226140703358,140.17023783002696,140.42595866032997,140.1840419500216,140.46095516188782,140.06704410569031,140.47276987484815,139.9652306134331,140.50410039890076,139.68310028469298,0.011193437857912159,0.004631701180381907,-0.0002822336590497798,140.32499885559082,140.3000030517578,140.30833307902017,140.3000030517578,140.33333333333334,140.3000030517578,140.10500036875408,140.10000610351562,140.92097203996445,141.1999969482422,0.0,0.0,0.071,0.0,10.909,7.539,5.554,4.003,2.497,0.426,2.094,0.118,0.083,0.101,0.093,0.09,0.083,0.115,0.166,0.123,0.239,0.145,0.442,1253312.98,3029024.669,-49710685.025,0.018,0.0,0.006,0.0,0.024,0.0,0.139,0.143,0.441,0.637,0.0
763,140.3000030517578,140.3000030517578,140.10000610351562,140.1999969482422,2023-03-10 15:40:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.46641497137028,140.18358273981136,140.42976328054115,140.15773633798912,140.42977515687664,140.17022484312338,140.46095516188782,140.06704410569031,140.47091946610976,139.97108096113635,140.5042200460848,139.68618058868083,0.0011282314981428954,0.00012846048014328966,-0.01788450232081118,140.32499885559082,140.3000030517578,140.29999923706055,140.3000030517578,140.32083320617676,140.3000030517578,140.10625038146972,140.10000610351562,140.91777759128146,141.1999969482422,0.071,0.071,0.071,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.19,0.012,0.164,0.03,0.164,0.021,0.186,0.095,0.193,0.164,0.217,0.368,12426427.462,109138521.303,-784018.917,0.089,0.071,0.071,0.071,0.086,0.071,0.067,0.071,0.509,0.708,0.0
764,140.1999969482422,140.1999969482422,140.10000610351562,140.10000610351562,2023-03-10 15:41:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.4857005746226,140.08930018831686,140.44808032350372,140.11441967649628,140.44761071764415,140.1323895875316,140.46358399213793,140.06041564165113,140.46913123645933,139.97486931285707,140.50426841735938,139.6877323150625,-0.014746948921441572,-0.008207623321878339,-0.04155195852996485,140.28750038146973,140.3000030517578,140.28333282470703,140.3000030517578,140.30416679382324,140.3000030517578,140.1070837656657,140.10000610351562,140.91458316379124,141.1999969482422,0.071,0.071,0.0,0.0,10.751,7.385,5.404,3.855,2.351,0.283,2.233,0.275,0.008,0.248,0.01,0.247,0.023,0.259,0.028,0.263,0.089,0.288,0.295,-950127.066,-1707049.754,-337268.237,0.134,0.143,0.131,0.143,0.146,0.143,0.005,0.0,0.578,0.779,1.0
768,140.10000610351562,140.1999969482422,140.10000610351562,140.1999969482422,2023-03-10 15:45:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.3406737777162,140.08432545934434,140.43950868273348,140.08548902844817,140.42754358611867,140.1024551931782,140.46358399213793,140.06041564165113,140.4600615999756,139.99993870520015,140.50498124529375,139.6990193650578,-0.025854860555824644,-0.020253895164025083,-0.023244834136789905,140.21249961853027,140.1999969482422,140.2583325703939,140.25,140.27499961853027,140.3000030517578,140.11250044504803,140.10000610351562,140.90194426642523,141.1999969482422,0.071,0.0,0.071,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.1,0.083,0.171,0.082,0.162,0.07,0.188,0.1,0.185,0.143,0.217,0.359,-542357.796,-692312.514,-603244.751,0.009,0.0,0.042,0.036,0.053,0.071,0.062,0.071,0.498,0.708,0.0
770,140.1999969482422,140.1999969482422,140.10000610351562,140.10000610351562,2023-03-10 15:47:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.26600073876293,140.05900002417653,140.44989971882939,140.03759951823116,140.4391773250408,140.0608226749592,140.4660296878751,140.05397031212487,140.45561352197885,140.00838702733753,140.5043215812941,139.70367915112774,-0.04119369570952358,-0.026293102880620218,-0.0388763107753789,140.16250038146973,140.1999969482422,140.21666717529297,140.1999969482422,140.25833320617676,140.3000030517578,140.11416721343994,140.10000610351562,140.89555541144478,141.1999969482422,0.071,0.071,0.0,0.0,10.751,7.385,5.404,3.855,2.351,0.283,2.233,0.118,0.029,0.249,0.045,0.242,0.028,0.261,0.033,0.253,0.065,0.288,0.284,-340200.6,-532939.379,-360473.717,0.045,0.071,0.083,0.071,0.113,0.143,0.01,0.0,0.565,0.779,1.0
771,140.10000610351562,140.1999969482422,140.10000610351562,140.1999969482422,2023-03-10 15:48:00+03:00,126.5,130.46480072021484,132.9176011657715,134.9000015258789,136.88240188598633,139.70480239868164,143.3000030517578,140.26600073876293,140.05900002417653,140.44989971882939,140.03759951823116,140.43389856803893,140.05610082160953,140.46358399213793,140.06041564165113,140.4527544289553,140.01524605932593,140.50319938496497,139.7088013474569,-0.03785347290346408,-0.02576180578659392,-0.023636617410488725,140.16250038146973,140.1999969482422,140.20000076293945,140.1999969482422,140.25,140.25,140.1158338546753,140.10000610351562,140.89277763366698,141.1999969482422,0.071,0.0,0.071,0.0,10.83,7.462,5.479,3.929,2.424,0.354,2.163,0.047,0.101,0.178,0.116,0.167,0.103,0.188,0.1,0.18,0.132,0.216,0.352,-370475.52,-544316.497,-593247.465,0.027,0.0,0.0,0.0,0.036,0.036,0.06,0.071,0.492,0.708,0.0
